PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
111313,01-OCT-22,30-SEP-23,As Submitted,,3789446,25222625
111314,01-JAN-23,31-DEC-23,As Submitted,20842080,12414381,15071350
111316,01-JAN-23,31-DEC-23,As Submitted,16264682,13036284,9824571
111318,01-OCT-22,30-SEP-23,As Submitted,,7440258,25158747
111323,01-JAN-23,31-DEC-23,As Submitted,,117319371,459401978
111326,01-OCT-22,30-SEP-23,As Submitted,17459424,11528731,19060248
111330,01-JAN-23,31-DEC-23,As Submitted,,17658485,162278657
111331,01-OCT-22,30-SEP-23,As Submitted,36909377,25670852,47697152
111332,01-OCT-22,30-SEP-23,As Submitted,,6624572,17525506
111333,01-OCT-22,30-SEP-23,As Submitted,24095994,14901502,61697134
111334,01-JAN-23,31-DEC-23,As Submitted,,15270492,78527118
111335,01-DEC-22,30-NOV-23,As Submitted,49080585,27373855,185799786
111336,01-JAN-23,31-DEC-23,As Submitted,,3180834,39338624
112000,01-JAN-23,31-DEC-23,As Submitted,10292239,12568882,22063
112012,01-JAN-23,31-DEC-23,As Submitted,9086984,18306510,1295
112016,01-NOV-22,31-OCT-23,As Submitted,28749887,260033615,
112017,01-JAN-23,31-DEC-23,As Submitted,15777791,51266550,
113029,01-JAN-23,31-DEC-23,As Submitted,21793951,49035911,9617138
113032,01-OCT-22,30-SEP-23,As Submitted,24892748,45677214,5869
113034,01-OCT-22,30-SEP-23,As Submitted,21094356,41702683,
113300,01-JAN-23,31-DEC-23,As Submitted,,1621656721,903402286
113301,01-JAN-23,31-DEC-23,As Submitted,,1168159531,1044549304
114004,01-JAN-23,31-DEC-23,As Submitted,22346859,80146000,4155136
114008,01-JAN-23,31-DEC-23,As Submitted,25289730,75624600,2643690
114010,01-JAN-23,31-DEC-23,As Submitted,35226391,133112600,9344520
114012,01-JAN-23,31-DEC-23,As Submitted,32870495,100118700,14571015
114016,01-JAN-23,31-DEC-23,As Submitted,15889265,40684600,1063125
114032,01-JAN-23,31-DEC-23,As Submitted,21759475,74509600,3731425
114035,01-JAN-23,31-DEC-23,As Submitted,40188814,159738840,7652681
114036,01-JAN-23,31-DEC-23,As Submitted,22108575,76096900,3874325
114037,01-JAN-23,31-DEC-23,As Submitted,20818652,69509640,2788775
120002,01-JAN-23,31-DEC-23,As Submitted,308268584,485660674,412609060
120011,01-JAN-23,31-DEC-23,As Submitted,396150154,530418434,802305530
121305,01-JAN-23,31-DEC-23,As Submitted,7371649,3014492,4731744
121308,01-JAN-23,31-DEC-23,As Submitted,34611855,34159568,8535195
123025,01-OCT-22,30-SEP-23,As Submitted,43404828,73784053,7258287
124001,01-JAN-23,31-DEC-23,As Submitted,18130710,15915959,
130002,01-OCT-22,30-SEP-23,As Submitted,410137124,525110422,699755638
130006,01-OCT-22,30-SEP-23,As Submitted,1718803308,2062987466,2606498501
130014,01-OCT-22,30-SEP-23,As Submitted,91566785,201722160,435351797
130018,01-OCT-22,30-SEP-23,As Submitted,242052691,1060816280,714658367
130025,01-OCT-22,30-SEP-23,As Submitted,81343942,51696875,131609670
130049,01-JAN-23,31-DEC-23,As Submitted,589404508,769209219,955410062
130063,01-JAN-23,31-DEC-23,As Submitted,89889944,19540875,359817759
130065,01-JAN-23,31-DEC-23,As Submitted,299339080,83857996,812854135
130066,01-JAN-23,31-DEC-23,As Submitted,123321802,115996361,297294787
130071,01-OCT-22,30-SEP-23,As Submitted,190618575,221546987,357127933
130073,01-JAN-23,31-DEC-23,As Submitted,3532458,5394358,261156
130074,01-JAN-23,31-DEC-23,As Submitted,125470063,135248220,149271009
131301,01-JAN-23,31-DEC-23,As Submitted,19215061,7442890,19476844
131302,01-OCT-22,30-SEP-23,As Submitted,,9135448,78480448
131304,01-OCT-22,30-SEP-23,As Submitted,12832703,3163813,7468330
131305,01-OCT-22,30-SEP-23,As Submitted,,5938720,42760082
131308,01-OCT-22,30-SEP-23,As Submitted,,464110,6849494
131309,01-JAN-23,31-DEC-23,As Submitted,,6288127,29045628
131310,01-OCT-22,30-SEP-23,As Submitted,,8590843,23675243
131311,01-OCT-22,30-SEP-23,As Submitted,41441106,22077206,76405999
131312,01-OCT-22,30-SEP-23,As Submitted,,12389550,63811763
131313,01-OCT-22,30-SEP-23,As Submitted,,3124804,30180001
131314,01-DEC-22,30-NOV-23,As Submitted,,4709952,26764615
131315,01-OCT-22,30-SEP-23,As Submitted,,2913397,26208809
131316,01-JAN-23,31-DEC-23,As Submitted,31022088,11926537,38430073
131317,01-JAN-23,31-DEC-23,As Submitted,,1935746,23656563
131318,01-OCT-22,30-SEP-23,As Submitted,,2814663,28211043
131319,01-OCT-22,30-SEP-23,As Submitted,45375351,14332539,56373557
131320,01-JAN-23,31-DEC-23,As Submitted,,9349266,24416706
131321,01-JAN-23,31-DEC-23,As Submitted,,4613386,24326694
131322,01-OCT-22,30-SEP-23,As Submitted,32601573,8926254,33583971
131323,01-OCT-22,30-SEP-23,As Submitted,,28163648,114760560
131324,01-OCT-22,30-SEP-23,As Submitted,,132752,14129158
131325,01-JAN-23,31-DEC-23,As Submitted,120273510,60652552,246878747
131328,01-JAN-23,31-DEC-23,As Submitted,,13439939,76898935
132001,01-OCT-22,30-SEP-23,As Submitted,17389735,36489780,
133028,01-OCT-22,30-SEP-23,As Submitted,19667970,37123690,
134002,01-OCT-22,30-SEP-23,As Submitted,21743304,125092800,11024370
134017,01-JAN-23,31-DEC-23,As Submitted,23669828,52675358,4084395
140002,01-JAN-23,31-DEC-23,As Submitted,152655636,259501079,486791760
140010,01-JAN-23,31-DEC-23,As Submitted,1616511404,2084932287,4125919355
140012,01-JAN-23,31-DEC-23,As Submitted,114474118,114281739,338564308
140013,01-JAN-23,31-DEC-23,As Submitted,111908470,149959400,502889482
140015,01-OCT-22,30-SEP-23,Amended,408984789,982986409,1183297013
140019,01-JUL-23,17-AUG-23,Settled,2134919,836108,4448247
140030,01-JAN-23,31-DEC-23,As Submitted,326959483,708121083,957547121
140034,01-JAN-23,31-DEC-23,As Submitted,86829116,105484171,259969548
140046,01-JAN-23,31-DEC-23,As Submitted,173858573,355115335,364647888
140048,01-JAN-23,31-DEC-23,As Submitted,468228766,767202705,1045458734
140049,01-MAY-23,31-DEC-23,As Submitted,88154036,213083607,265615757
140052,01-OCT-22,30-SEP-23,As Submitted,86343436,86325810,332451032
140064,01-OCT-22,30-SEP-23,As Submitted,109760619,174853432,421382257
140065,01-JAN-23,31-DEC-23,As Submitted,194037692,334311686,519874744
140067,01-OCT-22,30-SEP-23,As Submitted,977122338,2939433278,2615395989
140077,01-JAN-23,31-DEC-23,As Submitted,50480870,13786791,40487570
140084,01-DEC-22,30-NOV-23,As Submitted,133488101,479933032,468113018
140091,01-JAN-23,31-DEC-23,As Submitted,1033384138,1815943761,2902905631
140093,01-OCT-22,30-SEP-23,As Submitted,90372354,151382995,367922575
140100,01-OCT-22,30-SEP-23,As Submitted,199192701,84448947,825277001
140101,01-JAN-23,31-DEC-23,As Submitted,168903288,192263684,649765522
140110,01-OCT-22,30-SEP-23,As Submitted,120598660,114296120,480717914
140113,01-OCT-22,30-SEP-23,As Submitted,102099715,228800438,222612599
140114,01-JAN-23,31-DEC-23,As Submitted,286728745,519587004,1007507502
140120,01-JAN-23,31-DEC-23,As Submitted,48001017,78474359,247671094
140122,01-JAN-23,31-DEC-23,As Submitted,275902865,446759874,657007315
140124,01-DEC-22,30-NOV-23,As Submitted,1177152367,773882617,901127529
140125,01-JAN-23,28-FEB-23,As Submitted,14186233,48367188,69224956
140127,01-JAN-23,31-DEC-23,As Submitted,257482468,301315515,434547021
140135,01-OCT-22,30-SEP-23,As Submitted,278405345,310587572,800346021
140147,01-JAN-23,31-DEC-23,As Submitted,55322191,41391419,176114635
140148,01-OCT-22,30-SEP-23,As Submitted,625986179,1474759513,1511746426
140160,01-JAN-23,31-DEC-23,As Submitted,128844831,160334935,427438504
140161,01-OCT-22,30-SEP-23,As Submitted,65024590,46465728,211405902
140162,01-OCT-22,30-SEP-23,As Submitted,177930630,396915175,540810242
140167,01-OCT-22,16-JUL-23,As Submitted,25642140,8559359,51560598
140172,01-JAN-23,31-DEC-23,As Submitted,314211959,545100372,779568741
140179,01-OCT-22,30-SEP-23,As Submitted,255354678,561204305,636095446
140181,01-JAN-23,31-DEC-23,As Submitted,48957840,96094173,43976469
140182,01-JAN-23,31-DEC-23,As Submitted,554141483,832905986,1797535975
140184,14-JAN-23,30-SEP-23,As Submitted,55828115,166344817,291375936
140185,01-JAN-23,31-DEC-23,As Submitted,389937177,823427695,1160546043
140186,01-JAN-23,31-DEC-23,As Submitted,291084556,384897096,1091025090
140200,01-JAN-23,31-DEC-23,As Submitted,508692708,1297611263,2243097684
140202,01-JAN-23,31-DEC-23,As Submitted,380170980,981786285,992225831
140206,01-OCT-22,30-SEP-23,As Submitted,114060934,184961405,158611439
140208,01-JAN-23,31-DEC-23,As Submitted,1236003962,2987869335,1735203011
140209,01-JAN-23,31-DEC-23,As Submitted,407740354,759730226,1169894158
140213,01-OCT-22,30-SEP-23,As Submitted,462245306,676099903,876221691
140223,01-JAN-23,31-DEC-23,As Submitted,888405097,2159548374,1582685226
140231,01-JAN-23,31-DEC-23,As Submitted,685533132,1549058499,2854586469
140233,01-OCT-22,30-SEP-23,As Submitted,352434077,837821609,891494786
140280,01-JAN-23,31-DEC-23,As Submitted,273232334,383326171,658699485
140288,01-JAN-23,31-DEC-23,As Submitted,376456581,981110614,731530362
140289,01-JAN-23,31-DEC-23,As Submitted,165042946,265313604,561434802
140291,01-JAN-23,31-DEC-23,As Submitted,306148370,477722139,726932239
140292,01-JAN-23,31-DEC-23,As Submitted,105730639,162139537,206512998
140294,14-JAN-23,30-SEP-23,As Submitted,34525177,29470303,163335374
140300,01-DEC-22,30-NOV-23,As Submitted,111695198,23702982,105178992
140304,01-JAN-23,31-DEC-23,As Submitted,205178624,230646882,615024561
141302,01-OCT-22,30-SEP-23,As Submitted,30209560,11362276,35733337
141305,01-JAN-23,31-DEC-23,As Submitted,,12848715,86847205
141306,01-JAN-23,31-DEC-23,As Submitted,,3051027,41501335
141310,01-OCT-22,30-SEP-23,As Submitted,,10226361,89709815
141313,01-OCT-22,30-SEP-23,As Submitted,,4837115,52254044
141315,01-OCT-22,30-SEP-23,As Submitted,,8695693,69830918
141317,01-OCT-22,30-SEP-23,As Submitted,111911070,45263219,301256491
141318,01-OCT-22,30-SEP-23,As Submitted,,7959605,107751220
141320,01-JAN-23,31-DEC-23,As Submitted,,10489183,190256909
141322,01-OCT-22,30-SEP-23,As Submitted,,25760364,146597015
141325,01-OCT-22,30-SEP-23,As Submitted,,6515240,99750665
141327,01-JAN-23,31-DEC-23,As Submitted,,16388596,164501552
141337,01-OCT-22,30-SEP-23,As Submitted,,5802733,118260607
141339,01-OCT-22,30-SEP-23,As Submitted,,19649942,138865175
141341,01-JAN-23,31-DEC-23,As Submitted,,5862976,69866907
141342,14-JAN-23,30-SEP-23,As Submitted,,13805189,56552201
141348,14-JAN-23,30-SEP-23,Amended,,25767370,81614858
141352,01-OCT-22,30-SEP-23,As Submitted,106571453,106067315,360068478
141353,17-JUL-23,30-SEP-23,As Submitted,7392400,1571379,12947916
143029,01-JAN-23,31-DEC-23,As Submitted,12367966,30758688,
144009,01-JAN-23,31-DEC-23,As Submitted,33633365,69341873,10665344
144026,01-JAN-23,31-DEC-23,As Submitted,35356429,74415913,25683557
144029,01-JAN-23,31-DEC-23,Settled,21143104,43440998,4452538
144035,01-JAN-23,31-DEC-23,As Submitted,58233962,79689475,59219827
144040,01-JAN-23,31-DEC-23,As Submitted,34773019,111798400,4789224
144041,01-JAN-23,31-DEC-23,As Submitted,25070405,71792665,5737500
144042,01-OCT-22,31-DEC-22,Settled,8111462,22372700,960619
144042,01-JAN-23,31-DEC-23,As Submitted,33676687,97291950,3554743
150001,01-JAN-23,31-DEC-23,As Submitted,95039683,69022522,322143601
150002,01-JAN-23,31-DEC-23,As Submitted,368760179,751076212,1003680055
150005,01-JAN-23,31-DEC-23,As Submitted,275129557,252750607,918643025
150006,01-JAN-23,31-DEC-23,As Submitted,149290476,300230461,555469677
150007,01-JAN-23,31-DEC-23,As Submitted,148156285,207292386,557504037
150015,01-JAN-23,31-DEC-23,As Submitted,305176268,422772289,1175852943
150021,01-JAN-23,31-DEC-23,As Submitted,1289526201,2764514546,3424970286
150022,01-JAN-23,31-DEC-23,As Submitted,47289994,41557415,180305394
150023,01-JAN-23,31-DEC-23,As Submitted,450961797,672063967,1449796865
150035,01-JAN-23,31-DEC-23,As Submitted,328729326,1249561153,1461038927
150037,01-JAN-23,31-DEC-23,As Submitted,127598380,77156219,465073115
150042,01-JAN-23,31-DEC-23,As Submitted,173840235,187548691,460909836
150045,01-JAN-23,31-DEC-23,As Submitted,58525087,48557290,250904888
150051,01-JAN-23,31-DEC-23,As Submitted,442859058,792706785,1477510416
150056,01-JAN-23,31-DEC-23,As Submitted,3007560025,6094605999,6663442337
150057,01-JAN-23,31-DEC-23,As Submitted,104362840,131279936,505829956
150059,01-JAN-23,31-DEC-23,As Submitted,198305493,173243473,557244896
150061,01-JAN-23,31-DEC-23,As Submitted,62833908,35925014,127870244
150065,01-JAN-23,31-DEC-23,As Submitted,150395770,76984674,394432879
150069,01-JAN-23,31-DEC-23,As Submitted,114111534,102439943,291907155
150072,01-JAN-23,31-DEC-23,As Submitted,87346527,37734846,254311694
150074,01-JAN-23,31-DEC-23,As Submitted,1004548769,1155428788,3080260478
150075,01-OCT-22,30-SEP-23,As Submitted,37508115,47063203,177850387
150082,01-OCT-22,30-SEP-23,As Submitted,770293759,1551894756,2057285481
150086,01-JAN-23,31-DEC-23,As Submitted,90569975,101797516,178279831
150089,01-JAN-23,31-DEC-23,As Submitted,451800380,1016679341,1447788886
150091,01-JAN-23,31-DEC-23,As Submitted,60345988,55108660,228787385
150097,01-JAN-23,31-DEC-23,As Submitted,147261545,95269390,476771474
150101,01-JAN-23,31-DEC-23,As Submitted,76804895,61135466,313098099
150102,01-JAN-23,31-DEC-23,As Submitted,19081584,12615441,76992708
150104,01-JAN-23,31-DEC-23,As Submitted,96251184,96145321,363741180
150109,01-JAN-23,31-DEC-23,As Submitted,317729221,649630133,1102422565
150112,01-JAN-23,31-DEC-23,As Submitted,336610412,360448617,627248629
150113,01-JAN-23,31-DEC-23,As Submitted,175790467,270275320,575853957
150126,01-JAN-23,31-DEC-23,As Submitted,251177477,497996970,699630912
150128,01-JAN-23,31-DEC-23,As Submitted,239518880,527604984,682560930
150146,01-JAN-23,31-DEC-23,As Submitted,55737699,56124214,219709997
150149,01-JAN-23,31-DEC-23,As Submitted,103270473,114781195,123642130
150158,01-JAN-23,31-DEC-23,As Submitted,254331099,512975212,968038506
150160,01-JAN-23,31-DEC-23,As Submitted,152417629,103391846,464524661
150161,01-JAN-23,31-DEC-23,As Submitted,304649501,485457524,1056925023
150162,01-JAN-23,31-DEC-23,As Submitted,689155444,1812780585,2058132794
150165,01-JAN-23,31-DEC-23,As Submitted,142386151,207401605,471798594
150167,01-JAN-23,31-DEC-23,As Submitted,130072454,97038261,583357394
150168,01-JAN-23,31-DEC-23,As Submitted,99859480,318650592,781974112
150169,01-JAN-23,31-DEC-23,As Submitted,429405063,1068574379,842599345
150173,01-JAN-23,31-DEC-23,As Submitted,319006217,664693712,1186136129
150179,01-JAN-23,31-DEC-23,As Submitted,16424177,18923789,8114654
150183,01-JAN-23,31-DEC-23,As Submitted,36684456,42871360,110039660
150191,01-JAN-23,31-DEC-23,As Submitted,10367624,179088,36127317
150193,01-JAN-23,31-DEC-23,As Submitted,40979731,29811716,69294078
151302,01-JAN-23,01-OCT-23,As Submitted,,3018747,41387974
151304,01-JAN-23,31-DEC-23,As Submitted,,5760032,124259694
151305,01-OCT-22,30-SEP-23,As Submitted,,11950878,69377663
151306,01-JAN-23,31-DEC-23,As Submitted,,10348602,85252206
151310,01-JAN-23,31-DEC-23,As Submitted,,22578535,216748630
151311,01-JAN-23,31-DEC-23,As Submitted,,13426101,118936410
151312,01-JAN-23,31-DEC-23,As Submitted,,13412462,155407174
151313,01-JAN-23,31-DEC-23,As Submitted,,12151636,162565167
151315,01-OCT-22,30-SEP-23,As Submitted,,28255558,208700746
151316,01-JAN-23,31-DEC-23,As Submitted,,5037255,70004868
151317,01-JAN-23,31-DEC-23,As Submitted,,14600244,148818389
151319,01-OCT-22,30-SEP-23,As Submitted,,6419704,87250048
151320,01-JAN-23,31-DEC-23,As Submitted,,6670133,84238680
151322,01-JAN-23,31-DEC-23,As Submitted,,21467798,122577412
151323,01-JAN-23,31-DEC-23,As Submitted,,21898667,123912000
151324,01-JAN-23,31-DEC-23,As Submitted,,6489158,106659880
151326,01-JAN-23,31-DEC-23,As Submitted,,10344348,89251305
151328,01-JAN-23,31-DEC-23,As Submitted,,50590267,309156021
151329,01-JAN-23,31-DEC-23,As Submitted,,30958556,252180116
151330,01-JAN-23,31-DEC-23,As Submitted,,21032466,112507527
151331,01-JAN-23,31-DEC-23,As Submitted,,22855226,161232241
151332,01-JAN-23,31-DEC-23,As Submitted,,17358342,173994428
151334,01-JAN-23,31-DEC-23,As Submitted,,7573738,61469398
152014,01-JAN-23,31-DEC-23,As Submitted,28253480,162905133,
152028,01-NOV-22,31-OCT-23,As Submitted,16099127,73297051,
153030,01-OCT-22,30-SEP-23,As Submitted,17431322,70614735,6951
153042,01-JAN-23,31-DEC-23,As Submitted,15699417,21280800,1460805
153043,01-JAN-23,31-DEC-23,As Submitted,26041184,79982207,
153044,01-JAN-23,31-DEC-23,As Submitted,18949545,49681499,
153046,01-JAN-23,31-DEC-23,As Submitted,21103943,49267937,2639557
153049,01-JAN-23,31-DEC-23,As Submitted,18114360,22027880,661720
154005,01-JAN-23,31-DEC-23,As Submitted,7150879,3976700,
154041,01-JAN-23,31-DEC-23,Settled,12899177,34596385,1511435
154051,01-JAN-23,31-DEC-23,Settled,18991332,37098950,3827344
154057,01-JAN-23,31-DEC-23,As Submitted,16599218,63012500,490000
154058,01-JAN-23,31-DEC-23,As Submitted,8245988,30782500,
154060,01-JAN-23,31-DEC-23,As Submitted,10201994,10271064,12374102
154061,01-JAN-23,31-DEC-23,As Submitted,9968783,39387500,
154063,01-JAN-23,31-DEC-23,As Submitted,11265711,39822500,
154064,01-JAN-23,31-DEC-23,As Submitted,10922825,22226564,
154065,01-JAN-23,31-DEC-23,As Submitted,13699018,53557400,
154066,01-JAN-23,31-DEC-23,As Submitted,6057690,12331569,
154068,01-JAN-23,31-DEC-23,As Submitted,13390350,43505000,
154070,03-APR-23,31-DEC-23,As Submitted,10234624,13860000,
160001,01-JAN-23,31-DEC-23,As Submitted,63531751,18760913,147141567
160013,01-JAN-23,31-DEC-23,As Submitted,47640614,18029717,140305634
160016,01-JAN-23,31-DEC-23,As Submitted,144233507,112574508,280130134
160045,01-JAN-23,31-DEC-23,As Submitted,322022266,473927599,736197481
160047,01-JAN-23,31-DEC-23,As Submitted,120282923,163777249,253214375
160082,01-JAN-23,31-DEC-23,As Submitted,806073812,1915732330,1733095443
160104,01-JAN-23,31-DEC-23,As Submitted,75296551,110724582,186709832
160110,01-JAN-23,31-DEC-23,As Submitted,233721489,320109415,505178999
160117,01-JAN-23,31-DEC-23,As Submitted,107444632,116426506,226136920
160146,01-JAN-23,31-DEC-23,As Submitted,171183515,272042401,226773738
160147,01-JAN-23,31-DEC-23,As Submitted,49608792,41083806,108704516
161316,01-JAN-23,30-SEP-23,As Submitted,,3602735,34073987
161320,01-JAN-23,31-DEC-23,As Submitted,,2372693,17995400
161324,01-OCT-22,30-SEP-23,As Submitted,,3077024,15068654
161350,01-JAN-23,31-DEC-23,As Submitted,,4826925,56893308
161354,01-JAN-23,31-DEC-23,As Submitted,,5246219,30521793
161366,01-JAN-23,31-DEC-23,As Submitted,,7521962,99168572
161367,01-JAN-23,31-DEC-23,As Submitted,,24113430,194056226
161381,01-JAN-23,31-DEC-23,As Submitted,,13691912,62760745
162003,01-JAN-23,31-DEC-23,As Submitted,11423461,83511960,
163025,01-JAN-23,31-DEC-23,As Submitted,18756158,52852529,
163026,01-JAN-23,31-DEC-23,As Submitted,10920709,15627933,
163027,01-OCT-22,30-SEP-23,As Submitted,17142757,32178556,
164006,01-JAN-23,31-DEC-23,As Submitted,16535322,40061300,4994197
170012,01-OCT-22,30-SEP-23,As Submitted,183214776,295356062,392898375
170014,01-OCT-22,30-SEP-23,As Submitted,53357661,58011517,242920937
170027,01-OCT-22,30-SEP-23,As Submitted,41470292,32422602,75901004
170049,01-JAN-23,31-DEC-23,As Submitted,333978953,464371519,691798720
170068,01-JAN-23,31-DEC-23,As Submitted,59432796,77172069,124183425
170074,01-JAN-23,30-SEP-23,As Submitted,28569774,12431612,68345497
170075,01-OCT-22,30-SEP-23,As Submitted,5709795,2451001,2628569
170086,01-OCT-22,30-SEP-23,As Submitted,485477555,1024935527,1473058242
170104,01-JAN-23,31-DEC-23,As Submitted,419931024,1280504922,1758510465
170109,01-JAN-23,31-DEC-23,As Submitted,37099985,10263164,89177117
170120,01-JAN-23,31-DEC-23,As Submitted,79813867,29029004,202689314
170122,01-OCT-22,30-SEP-23,As Submitted,679067222,1631305475,908795992
170137,01-JAN-23,31-DEC-23,As Submitted,215418558,279640167,911788170
170145,01-JAN-23,31-OCT-23,As Submitted,36982889,18087330,79740317
170150,01-JAN-23,25-AUG-23,As Submitted,15289078,4641937,28373470
170166,01-JAN-23,21-SEP-23,As Submitted,7248916,1640367,4797325
170186,01-JAN-23,31-DEC-23,As Submitted,43600941,59791751,76949332
170187,01-JAN-23,31-DEC-23,As Submitted,24030370,20061845,55925560
170190,01-JAN-23,31-DEC-23,As Submitted,34082768,23016576,175544103
170198,01-JAN-23,31-DEC-23,As Submitted,14198460,19153469,25811216
170208,01-OCT-22,30-SEP-23,As Submitted,57211689,100045671,190489670
171300,01-JAN-23,31-DEC-23,As Submitted,,1593520,1536719
171301,01-OCT-22,30-SEP-23,As Submitted,,1877216,4923229
171303,01-JAN-23,31-DEC-23,As Submitted,,1867077,3297546
171304,01-JAN-23,31-DEC-23,As Submitted,,1778402,4081638
171306,01-JAN-23,31-DEC-23,As Submitted,,3118927,4420745
171309,01-JAN-23,31-DEC-23,As Submitted,,1905358,2686311
171310,01-JAN-23,31-DEC-23,As Submitted,,2339798,12187503
171312,01-JAN-23,31-DEC-23,As Submitted,,1097952,3311976
171314,01-JAN-23,31-DEC-23,As Submitted,,5848730,2438024
171316,01-JAN-23,31-DEC-23,As Submitted,,8101250,33351910
171317,01-JAN-23,31-DEC-23,As Submitted,,1509892,11973020
171322,01-JAN-23,31-DEC-23,As Submitted,,1954725,3129219
171324,01-JAN-23,31-DEC-23,As Submitted,,3986885,6402704
171325,01-JAN-23,31-DEC-23,As Submitted,,1278879,7861860
171326,01-JAN-23,31-DEC-23,As Submitted,,6612995,14111019
171328,01-OCT-22,30-SEP-23,As Submitted,,4445004,3134464
171331,01-JAN-23,31-DEC-23,As Submitted,,1747244,5596023
171332,01-JAN-23,31-DEC-23,As Submitted,,1677496,5192730
171333,01-JAN-23,31-DEC-23,As Submitted,,10590682,59690377
171334,01-JAN-23,31-DEC-23,As Submitted,,3257384,6468311
171335,01-JAN-23,31-DEC-23,As Submitted,,7457427,13445272
171336,01-JAN-23,31-DEC-23,As Submitted,,5566174,9942802
171337,01-OCT-22,30-SEP-23,As Submitted,,2481913,28825772
171338,01-JAN-23,31-DEC-23,As Submitted,,3592566,19301777
171339,01-OCT-22,30-SEP-23,As Submitted,,3484704,20801573
171341,01-JAN-23,31-DEC-23,As Submitted,,11869057,52071982
171344,01-JAN-23,31-DEC-23,As Submitted,,3801100,24052412
171346,01-JAN-23,31-DEC-23,As Submitted,,2265891,17890198
171347,01-JAN-23,31-DEC-23,As Submitted,,6820877,9163259
171349,01-OCT-22,30-SEP-23,As Submitted,,5677484,33649425
171351,01-JAN-23,31-DEC-23,As Submitted,,2227441,9420196
171355,01-JAN-23,31-DEC-23,As Submitted,,6353049,13002863
171356,01-OCT-22,30-SEP-23,As Submitted,,2597241,19141883
171357,01-JAN-23,31-DEC-23,As Submitted,,2909263,9546226
171358,01-OCT-22,30-SEP-23,As Submitted,,5248655,17705805
171359,01-JAN-23,31-DEC-23,As Submitted,,5837802,12559149
171361,01-OCT-22,30-SEP-23,As Submitted,,5840548,16073681
171362,01-JAN-23,31-DEC-23,As Submitted,53960176,20767544,89413927
171363,01-JAN-23,31-DEC-23,As Submitted,,7321503,32291134
171365,01-JAN-23,31-DEC-23,As Submitted,,2855468,5263494
171370,01-JAN-23,31-DEC-23,As Submitted,,4703502,32994694
171371,01-JAN-23,31-DEC-23,As Submitted,,5334952,51420850
171373,01-JAN-23,31-DEC-23,As Submitted,,9841355,43901227
171374,01-JAN-23,31-DEC-23,As Submitted,,1915970,18035144
171376,01-JAN-23,31-DEC-23,As Submitted,22401450,5633909,34128312
171380,01-JAN-23,31-DEC-23,As Submitted,,26530836,121330992
171381,01-OCT-22,30-SEP-23,As Submitted,47209592,20723968,50957603
171382,01-JAN-23,31-DEC-23,As Submitted,,15350498,94626642
171384,01-JAN-23,31-DEC-23,As Submitted,73369026,25298840,112046888
171386,22-SEP-23,31-DEC-23,As Submitted,,262866,1441575
172005,01-NOV-22,31-OCT-23,As Submitted,23522145,165660111,
172007,01-JAN-23,31-DEC-23,As Submitted,24183694,202804039,
173025,01-JAN-23,31-DEC-23,As Submitted,17416824,30838211,
173026,01-JAN-23,31-DEC-23,As Submitted,30408554,49385697,1055785
173028,01-OCT-22,30-SEP-23,As Submitted,28685758,27037619,22204443
173032,01-JAN-23,31-DEC-23,As Submitted,24516617,64376141,6585101
174025,01-JAN-23,31-DEC-23,As Submitted,6288793,12595002,
180001,01-JAN-23,31-DEC-23,As Submitted,144401512,197512337,250382979
180009,01-OCT-22,30-SEP-23,Amended,623906234,831068177,1619365982
180017,01-OCT-22,30-SEP-23,As Submitted,177646530,124489830,379694814
180019,01-DEC-22,30-NOV-23,As Submitted,47169340,103047317,347729336
180024,01-OCT-22,30-SEP-23,As Submitted,30945230,46217963,199060361
180027,01-OCT-22,30-SEP-23,As Submitted,113893719,140787338,366081757
180035,01-JAN-23,31-DEC-23,As Submitted,924822746,1285574263,1827581233
180043,01-OCT-22,30-SEP-23,As Submitted,77843725,67777787,208169283
180044,01-OCT-22,30-SEP-23,As Submitted,487819361,1080573757,1538685875
180045,01-JAN-23,31-DEC-23,As Submitted,201729072,303669881,377820542
180048,01-OCT-22,30-SEP-23,As Submitted,230420368,225608292,471751792
180051,01-JAN-23,31-DEC-23,As Submitted,149125420,123841719,486490923
180056,01-OCT-22,30-SEP-23,As Submitted,110311388,99865839,271044836
180079,01-OCT-22,30-SEP-23,As Submitted,74283182,36048998,170780714
180088,01-JAN-23,31-DEC-23,As Submitted,2387825776,4939869676,6737903365
180095,01-JAN-23,31-DEC-23,As Submitted,17317694,11460210,34779208
180102,01-JAN-23,31-DEC-23,As Submitted,270556260,522396911,884989035
180106,01-APR-23,07-SEP-23,As Submitted,7193089,4889225,18621603
180115,01-NOV-22,31-OCT-23,As Submitted,81541437,113507216,92795497
180124,01-OCT-22,30-SEP-23,As Submitted,102969804,429065454,641135172
180132,01-JAN-23,31-DEC-23,As Submitted,185318900,713631577,1048708714
180149,01-OCT-22,30-SEP-23,As Submitted,21942799,4495673,46735150
181301,01-JAN-23,31-DEC-23,As Submitted,,17245060,68208866
181302,01-OCT-22,30-SEP-23,As Submitted,,9780186,82554777
181306,01-OCT-22,30-SEP-23,As Submitted,,10203208,48808208
181310,01-JAN-23,31-DEC-23,As Submitted,,3058280,48466888
